Name, Visits, PageViews, Uniques/Visitors, New Visits, Returning Visits
Legacy TKI, 24633, 104550, 12321, 7894, 16739
Ako Panuku, 881, 4999, 350, 163, 718
Asia Knowledge, 750, 2651, 377, 279, 471
Assessment Online, 20438, 119462, 9934, 5367, 15071
Digital technology Guidelines, 997, 4791, 559, 349, 648
e-asTTle, 12648, 27657, 5254, 3349, 9299
Education for Enterprise, 779, 3643, 378, 179, 600
Education for Sustainability, 1793, 8155, 949, 702, 1091
Educational Leaders, 29403, 64092, 11344, 7233, 22170
e-Learning as Inquiry, 122, 484, 42, 20, 102
English Online, 43729, 161761, 31823, 26397, 17332
EOTC/LEOTC, 1723, 6591, 1090, 777, 946
ESOL Online, 4822, 21117, 2464, 1434, 3388
He Kohinga Rauemi a Ipu Rangi (MLC), 679, 2368, 408, 271, 408
Hoatu Homai, 174, 311, 99, 72, 102
Home-School Partnerships, 831, 2470, 488, 321, 510
ICT Helpdesk, 570, 1865, 356, 243, 327
Key Competencies, 3913, 16278, 2048, 1136, 2777
Ki te Autūroa (Instep), 1353, 3874, 1158, 1080, 273
Language immersion Opportunities, 59, 249, 43, 34, 25
LEAP, 2728, 6376, 2102, 1865, 863
Learning Languages Guides, 673, 3267, 450, 353, 320
Learning languages with ICTs, 212, 476, 141, 101, 111
Literacy Online, 6711, 31302, 3228, 1665, 5046
Ma te Pouaka (Māori Teachers Notes), 492, 2587, 259, 178, 314
NZ Curriculum, 40200, 174310, 21947, 13323, 26877
Professional Learning, 585, 2123, 324, 169, 416
Promoting Healthy Lifestyles, 923, 2493, 697, 536, 387
Pūtaiao, 646, 2229, 359, 242, 404
RTLB, 1149, 3607, 476, 279, 870
Senior Secondary Guidelines, 2221, 7106, 1303, 733, 1488
Software for Learning, 1897, 7982, 960, 597, 1300
Sounds and Words, 2433, 14355, 1449, 882, 1551
SSOL, 6751, 23085, 4390, 3199, 3552
Success for Boys, 480, 1231, 325, 242, 238
Taihape Area School, 224, 544, 141, 108, 116
Te Reo Māori, 3622, 11008, 2098, 1476, 2146
Te tere Auraki, 936, 3412, 500, 291, 645


I took 418 seconds.
